Mn-Fe: 	 1.0, 	 Mn-C: 	 0.0 	 in ( C-Fe)
C-Mn: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Mn-Mn)
Mn-Fe: 	 0.0, 	 Mn-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Mn: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Mn-Si)
Mn-Fe: 	 0.0, 	 Mn-Si: 	 1.0 	 in ( Si-Fe)
Si-Mn: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Si: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Si-C)
Si-Fe: 	 1.0, 	 Si-C: 	 0.0 	 in ( C-Fe)
C-Si: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Si-Fe)
Fe-Si: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Si-Mn)
Si-Fe: 	 0.0, 	 Si-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Si: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.0, 	 Fe-Si: 	 0.0 	 in ( Si-Si)
Si-Fe: 	 0.5, 	 Si-Si: 	 0.5 	 in ( Si-Fe)
Si-Si: 	 0.5, 	 Si-Fe: 	 0.5 	 in ( Si-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-Mn: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Mn-C)
Mn-Fe: 	 1.0, 	 Mn-C: 	 0.0 	 in ( C-Fe)
C-Mn: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Mn-Mn)
Mn-Fe: 	 0.0, 	 Mn-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Mn: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Mn-Si)
Mn-Fe: 	 0.0, 	 Mn-Si: 	 1.0 	 in ( Si-Fe)
Si-Mn: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Si: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Si-C)
Si-Fe: 	 1.0, 	 Si-C: 	 0.0 	 in ( C-Fe)
C-Si: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Si-Fe)
Fe-Si: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Si-Mn)
Si-Fe: 	 0.0, 	 Si-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Si: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.0, 	 Fe-Si: 	 0.0 	 in ( Si-Si)
Si-Fe: 	 0.5, 	 Si-Si: 	 0.5 	 in ( Si-Fe)
Si-Si: 	 0.5, 	 Si-Fe: 	 0.5 	 in ( Si-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-Mn: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Mn-C)
Mn-Fe: 	 1.0, 	 Mn-C: 	 0.0 	 in ( C-Fe)
C-Mn: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Mn-Mn)
Mn-Fe: 	 0.0, 	 Mn-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Mn: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Mn-Si)
Mn-Fe: 	 0.0, 	 Mn-Si: 	 1.0 	 in ( Si-Fe)
Si-Mn: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Si: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Si-C)
Si-Fe: 	 1.0, 	 Si-C: 	 0.0 	 in ( C-Fe)
C-Si: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Si-Fe)
Fe-Si: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Si-Mn)
Si-Fe: 	 0.0, 	 Si-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Si: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.0, 	 Fe-Si: 	 0.0 	 in ( Si-Si)
Si-Fe: 	 0.5, 	 Si-Si: 	 0.5 	 in ( Si-Fe)
Si-Si: 	 0.5, 	 Si-Fe: 	 0.5 	 in ( Si-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-Mn: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Mn-C)
Mn-Fe: 	 1.0, 	 Mn-C: 	 0.0 	 in ( C-Fe)
C-Mn: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Mn-Mn)
Mn-Fe: 	 0.0, 	 Mn-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Mn: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Mn-Si)
Mn-Fe: 	 0.0, 	 Mn-Si: 	 1.0 	 in ( Si-Fe)
Si-Mn: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Si: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Si-C)
Si-Fe: 	 1.0, 	 Si-C: 	 0.0 	 in ( C-Fe)
C-Si: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Si-Fe)
Fe-Si: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Si-Mn)
Si-Fe: 	 0.0, 	 Si-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Si: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.0, 	 Fe-Si: 	 0.0 	 in ( Si-Si)
Si-Fe: 	 0.5, 	 Si-Si: 	 0.5 	 in ( Si-Fe)
Si-Si: 	 0.5, 	 Si-Fe: 	 0.5 	 in ( Si-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-Mn: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Mn-C)
Mn-Fe: 	 1.0, 	 Mn-C: 	 0.0 	 in ( C-Fe)
C-Mn: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Mn-Mn)
Mn-Fe: 	 0.0, 	 Mn-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Mn: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Mn-Si)
Mn-Fe: 	 0.0, 	 Mn-Si: 	 1.0 	 in ( Si-Fe)
Si-Mn: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Si: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Si-C)
Si-Fe: 	 1.0, 	 Si-C: 	 0.0 	 in ( C-Fe)
C-Si: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Si-Fe)
Fe-Si: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Si-Mn)
Si-Fe: 	 0.0, 	 Si-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Si: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.0, 	 Fe-Si: 	 0.0 	 in ( Si-Si)
Si-Fe: 	 0.5, 	 Si-Si: 	 0.5 	 in ( Si-Fe)
Si-Si: 	 0.5, 	 Si-Fe: 	 0.5 	 in ( Si-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-Mn: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Mn-C)
Mn-Fe: 	 1.0, 	 Mn-C: 	 0.0 	 in ( C-Fe)
C-Mn: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Mn-Mn)
Mn-Fe: 	 0.0, 	 Mn-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Mn: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Mn-Si)
Mn-Fe: 	 0.0, 	 Mn-Si: 	 1.0 	 in ( Si-Fe)
Si-Mn: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Si: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Si-C)
Si-Fe: 	 1.0, 	 Si-C: 	 0.0 	 in ( C-Fe)
C-Si: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Si-Fe)
Fe-Si: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Si-Mn)
Si-Fe: 	 0.0, 	 Si-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Si: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.0, 	 Fe-Si: 	 0.0 	 in ( Si-Si)
Si-Fe: 	 0.5, 	 Si-Si: 	 0.5 	 in ( Si-Fe)
Si-Si: 	 0.5, 	 Si-Fe: 	 0.5 	 in ( Si-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-Mn: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Mn-C)
Mn-Fe: 	 1.0, 	 Mn-C: 	 0.0 	 in ( C-Fe)
C-Mn: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Mn-Mn)
Mn-Fe: 	 0.0, 	 Mn-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Mn: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Mn-Si)
Mn-Fe: 	 0.0, 	 Mn-Si: 	 1.0 	 in ( Si-Fe)
Si-Mn: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Si: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Si-C)
Si-Fe: 	 1.0, 	 Si-C: 	 0.0 	 in ( C-Fe)
C-Si: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Si-Fe)
Fe-Si: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Si-Mn)
Si-Fe: 	 0.0, 	 Si-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Si: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.0, 	 Fe-Si: 	 0.0 	 in ( Si-Si)
Si-Fe: 	 0.5, 	 Si-Si: 	 0.5 	 in ( Si-Fe)
Si-Si: 	 0.5, 	 Si-Fe: 	 0.5 	 in ( Si-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-Mn: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Mn-C)
Mn-Fe: 	 1.0, 	 Mn-C: 	 0.0 	 in ( C-Fe)
C-Mn: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Mn-Mn)
Mn-Fe: 	 0.0, 	 Mn-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Mn: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Mn-Si)
Mn-Fe: 	 0.0, 	 Mn-Si: 	 1.0 	 in ( Si-Fe)
Si-Mn: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Si: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Si-C)
Si-Fe: 	 1.0, 	 Si-C: 	 0.0 	 in ( C-Fe)
C-Si: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Si-Fe)
Fe-Si: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Si-Mn)
Si-Fe: 	 0.0, 	 Si-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Si: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.0, 	 Fe-Si: 	 0.0 	 in ( Si-Si)
Si-Fe: 	 0.5, 	 Si-Si: 	 0.5 	 in ( Si-Fe)
Si-Si: 	 0.5, 	 Si-Fe: 	 0.5 	 in ( Si-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
C-Fe: 	 0.5, 	 C-C: 	 0.5 	 in ( C-Fe)
C-C: 	 0.5, 	 C-Fe: 	 0.5 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Mn: 	 1.0 	 in ( C-Mn)
C-Fe: 	 0.5, 	 C-Mn: 	 0.5 	 in ( Mn-Fe)
Mn-C: 	 0.0, 	 Mn-Fe: 	 1.0 	 in ( C-Fe)
Fe-C: 	 0.0, 	 Fe-Si: 	 1.0 	 in ( C-Si)
C-Fe: 	 0.5, 	 C-Si: 	 0.5 	 in ( Si-Fe)
Si-C: 	 0.0, 	 Si-Fe: 	 1.0 	 in ( C-Fe)
Fe-Mn: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Mn-C)
Mn-Fe: 	 1.0, 	 Mn-C: 	 0.0 	 in ( C-Fe)
C-Mn: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Mn-Mn)
Mn-Fe: 	 0.0, 	 Mn-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Mn: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Mn: 	 0.5, 	 Fe-Si: 	 0.5 	 in ( Mn-Si)
Mn-Fe: 	 0.0, 	 Mn-Si: 	 1.0 	 in ( Si-Fe)
Si-Mn: 	 1.0, 	 Si-Fe: 	 0.0 	 in ( Mn-Fe)
Fe-Si: 	 1.0, 	 Fe-C: 	 0.0 	 in ( Si-C)
Si-Fe: 	 1.0, 	 Si-C: 	 0.0 	 in ( C-Fe)
C-Si: 	 0.5, 	 C-Fe: 	 0.5 	 in ( Si-Fe)
Fe-Si: 	 0.5, 	 Fe-Mn: 	 0.5 	 in ( Si-Mn)
Si-Fe: 	 0.0, 	 Si-Mn: 	 1.0 	 in ( Mn-Fe)
Mn-Si: 	 1.0, 	 Mn-Fe: 	 0.0 	 in ( Si-Fe)
Fe-Si: 	 0.0, 	 Fe-Si: 	 0.0 	 in ( Si-Si)
Si-Fe: 	 0.5, 	 Si-Si: 	 0.5 	 in ( Si-Fe)
Si-Si: 	 0.5, 	 Si-Fe: 	 0.5 	 in ( Si-Fe)
Fe-C: 	 0.0, 	 Fe-C: 	 0.0 	 in ( C-C)
